Order_ID,Distance_km,Traffic_Level,Weather,Vehicle_Type,Order_Quantity,Delivery_Time_hr,Expected_Time_hr,Delivery_Status,Delivery_Cost
1077,17,Medium,Rain,Van,2,2.38,2.34,Delayed,151.84
1078,10,Medium,Fog,Bike,3,2.83,1.76,Delayed,118.77
1079,16,Medium,Clear,Truck,5,2.34,2.6,On-Time,164.66
1080,25,Medium,Clear,Van,9,3.58,3.98,On-Time,215.02
1081,42,Medium,Clear,Van,2,4.71,4.84,On-Time,237.11
1082,23,Low,Clear,Bike,10,3.32,3.9,On-Time,159.66
1083,18,High,Clear,Truck,8,4.35,3.16,Delayed,154.26
1084,47,Low,Clear,Bike,2,5.45,5.34,Delayed,273.35
1085,20,Low,Clear,Bike,5,2.8,3.0,On-Time,157.35
1086,49,Low,Clear,Truck,7,6.26,6.14,Delayed,302.63
1087,26,Medium,Clear,Bike,8,4.19,3.96,Delayed,185.56
1088,28,Medium,Clear,Bike,1,3.22,3.32,On-Time,159.59
1089,27,Low,Clear,Truck,6,3.95,3.82,Delayed,237.75
1090,47,Medium,Rain,Truck,1,5.91,5.22,Delayed,281.45
1091,43,Low,Clear,Van,2,4.28,4.94,On-Time,251.91
1092,31,Medium,Clear,Van,1,3.65,3.62,Delayed,206.41
1093,17,Low,Clear,Bike,5,2.19,2.7,On-Time,142.67
1094,47,Medium,Rain,Bike,10,6.52,6.3,Delayed,278.09
1095,3,Medium,Clear,Bike,9,2.3,1.78,Delayed,78.61
1096,27,High,Rain,Van,6,5.69,3.82,Delayed,199.06
1097,9,Low,Clear,Van,1,0.63,1.42,On-Time,127.88
1098,11,Low,Clear,Van,1,1.52,1.62,On-Time,129.85
1099,26,Low,Clear,Van,2,2.71,3.24,On-Time,198.32
1100,3,High,Clear,Bike,9,2.41,1.78,Delayed,81.97
1101,46,High,Rain,Van,3,6.35,5.36,Delayed,253.82
1102,10,Low,Rain,Bike,1,1.52,1.52,On-Time,95.99
1103,26,Medium,Fog,Van,5,4.52,3.6,Delayed,187.37
1104,13,High,Clear,Bike,7,3.05,2.54,Delayed,138.23
1105,19,Medium,Clear,Truck,6,3.11,3.02,Delayed,154.49
1106,10,Medium,Rain,Bike,1,2.2,1.52,Delayed,115.85
1107,37,Low,Clear,Bike,5,4.42,4.7,On-Time,219.0
1108,37,Low,Clear,Bike,5,4.18,4.7,On-Time,215.78
1109,35,High,Clear,Van,6,5.12,4.62,Delayed,214.85
1110,7,High,Clear,Van,3,2.42,1.46,Delayed,82.04
1111,44,Medium,Fog,Bike,5,6.58,5.4,Delayed,260.18
1112,41,Low,Rain,Bike,7,5.3,5.34,On-Time,243.58
1113,43,Low,Rain,Van,5,5.53,5.3,Delayed,242.62
1114,30,Medium,Clear,Bike,5,4.46,4.0,Delayed,175.96
1115,9,High,Clear,Van,5,2.02,1.9,Delayed,111.27
1116,11,High,Clear,Van,10,3.59,2.7,Delayed,156.23
1117,10,High,Clear,Bike,10,3.17,2.6,Delayed,116.88
1118,14,Medium,Clear,Bike,3,2.56,2.16,Delayed,101.26
1119,36,Low,Rain,Truck,1,3.95,4.12,On-Time,230.75
1120,35,Low,Rain,Bike,5,4.17,4.5,On-Time,209.23
